Absolute Time,psi_out,u_hat,u_true
3570168891.033310,0.000000,-0.000000,0.000000
3570168891.043311,0.000000,-0.000000,0.000000
3570168891.053311,0.000000,-0.000000,0.000000
3570168891.063312,0.000000,-0.000000,0.000000
3570168891.073312,0.000000,-0.000000,0.000000
3570168891.083313,0.000000,-0.000000,0.000000
3570168891.093313,0.000000,-0.000000,0.000000
3570168891.103313,0.000000,-0.000000,0.000000
3570168891.113312,0.000000,-0.000000,0.000000
3570168891.123313,0.000000,-0.000000,0.000000
3570168891.133314,0.000000,-0.000000,0.000000
3570168891.143313,0.000000,-0.000000,0.000000
3570168891.153314,0.000000,-0.000000,0.000000
3570168891.163315,0.000000,-0.000000,0.000000
3570168891.173314,0.000000,-0.000000,0.000000
3570168891.183315,0.000000,-0.000000,0.000000
3570168891.193316,0.000000,-0.000000,0.000000
3570168891.203316,0.000000,-0.000000,0.000000
3570168891.213315,0.000000,-0.000000,0.000000
3570168891.223316,0.000000,-0.000000,0.000000
3570168891.233316,0.000000,-0.000000,0.000000
3570168891.243317,0.000000,-0.000000,0.000000
3570168891.253316,0.000000,-0.000000,0.000000
3570168891.263318,0.000000,-0.000000,0.000000
3570168891.273318,0.000000,-0.000000,0.000000
3570168891.283319,0.000000,-0.000000,0.000000
3570168891.293318,0.000000,-0.000000,0.000000
3570168891.303319,0.000000,-0.000000,0.000000
3570168891.313318,0.000000,-0.000000,0.000000
3570168891.323319,0.000000,-0.000000,0.000000
3570168891.333320,0.000000,-0.000000,0.000000
3570168891.343320,0.000000,-0.000000,0.000000
3570168891.353320,0.000000,-0.000000,0.000000
3570168891.363320,0.000000,-0.000000,0.000000
3570168891.373320,0.000000,-0.000000,0.000000
3570168891.383321,0.000000,-0.000000,0.000000
3570168891.393321,0.000000,-0.000000,0.000000
3570168891.403322,0.000000,-0.000000,0.000000
3570168891.413321,0.000000,-0.000000,0.000000
3570168891.423323,0.000000,-0.000000,0.000000
3570168891.433322,0.000000,-0.000000,0.000000
3570168891.443323,0.000000,-0.000000,0.000000
3570168891.453323,0.000000,-0.000000,0.000000
3570168891.463324,0.000000,-0.000000,0.000000
3570168891.473324,0.000000,-0.000000,0.000000
3570168891.483323,0.000000,-0.000000,0.000000
3570168891.493324,0.000000,-0.000000,0.000000
3570168891.503325,0.000000,-0.000000,0.000000
3570168891.513324,0.000000,-0.000000,0.000000
3570168891.523325,0.000000,-0.000000,0.000000
3570168891.533325,0.000000,-0.000000,0.000000
3570168891.543326,0.000000,-0.000000,0.000000
3570168891.553326,0.000000,-0.000000,0.000000
3570168891.563326,0.000000,-0.000000,0.000000
3570168891.573327,0.000000,-0.000000,0.000000
3570168891.583327,0.000000,-0.000000,0.000000
3570168891.593327,0.000000,-0.000000,0.000000
3570168891.603327,0.000000,-0.000000,0.000000
3570168891.613327,0.000000,-0.000000,0.000000
3570168891.623328,0.000000,-0.000000,0.000000
3570168891.633328,0.000000,-0.000000,0.000000
3570168891.643329,0.000000,-0.000000,0.000000
3570168891.653329,0.000000,-0.000000,0.000000
3570168891.663329,0.000000,-0.000000,0.000000
3570168891.673329,0.000000,-0.000000,0.000000
3570168891.683329,0.000000,-0.000000,0.000000
3570168891.693331,0.000000,-0.000000,0.000000
3570168891.703331,0.000000,-0.000000,0.000000
3570168891.713329,0.000000,-0.000000,0.000000
3570168891.723330,0.000000,-0.000000,0.000000
3570168891.733330,0.000000,-0.000000,0.000000
3570168891.743331,0.000000,-0.000000,0.000000
3570168891.753333,0.000000,-0.000000,0.000000
3570168891.763332,0.000000,-0.000000,0.000000
3570168891.773332,0.000000,-0.000000,0.000000
3570168891.783333,0.000000,-0.000000,0.000000
3570168891.793332,0.000000,-0.000000,0.000000
3570168891.803333,0.000000,-0.000000,0.000000
3570168891.813333,0.000000,-0.000000,0.000000
3570168891.823334,0.000000,-0.000000,0.000000
3570168891.833332,0.000000,-0.000000,0.000000
3570168891.843334,0.000000,-0.000000,0.000000
3570168891.853335,0.000000,-0.000000,0.000000
3570168891.863335,0.000000,-0.000000,0.000000
3570168891.873336,0.000000,-0.000000,0.000000
3570168891.883337,0.000000,-0.000000,0.000000
3570168891.893336,0.000000,-0.000000,0.000000
3570168891.903337,0.000000,-0.000000,0.000000
3570168891.913335,0.000000,-0.000000,0.000000
3570168891.923337,0.000000,-0.000000,0.000000
3570168891.933337,0.000000,-0.000000,0.000000
3570168891.943338,0.000000,-0.000000,0.000000
3570168891.953337,0.000000,-0.000000,0.000000
3570168891.963338,0.000000,-0.000000,0.000000
3570168891.973338,0.000000,-0.000000,0.000000
3570168891.983339,0.000000,-0.000000,0.000000
3570168891.993339,0.000000,-0.000000,0.000000
3570168892.003340,0.000000,-0.000000,0.000000
3570168892.013338,0.000000,-0.000000,0.000000
3570168892.023340,0.000000,-0.000000,0.000000
3570168892.033339,0.000000,-0.000000,0.000000
3570168892.043340,0.000000,-0.000000,0.000000
3570168892.053340,0.000000,-0.000000,0.000000
3570168892.063342,0.000000,-0.000000,0.000000
3570168892.073341,0.000000,-0.000000,0.000000
3570168892.083342,0.000000,-0.000000,0.000000
3570168892.093341,0.000000,-0.000000,0.000000
3570168892.103342,0.000000,-0.000000,0.000000
3570168892.113342,0.000000,-0.000000,0.000000
3570168892.123343,0.000000,-0.000000,0.000000
3570168892.133342,0.000000,-0.000000,0.000000
3570168892.143342,0.000000,-0.000000,0.000000
3570168892.153344,0.000000,-0.000000,0.000000
3570168892.163342,0.000000,-0.000000,0.000000
3570168892.173344,0.000000,-0.000000,0.000000
3570168892.183344,0.000000,-0.000000,0.000000
3570168892.193344,0.000000,-0.000000,0.000000
3570168892.203345,0.000000,-0.000000,0.000000
3570168892.213343,0.000000,-0.000000,0.000000
3570168892.223346,0.000000,-0.000000,0.000000
3570168892.233346,0.000000,-0.000000,0.000000
3570168892.243347,0.000000,-0.000000,0.000000
3570168892.253345,0.000000,-0.000000,0.000000
3570168892.263346,0.000000,-0.000000,0.000000
3570168892.273346,0.000000,-0.000000,0.000000
3570168892.283347,0.000000,-0.000000,0.000000
3570168892.293348,0.000000,-0.000000,0.000000
3570168892.303349,0.000000,-0.000000,0.000000
3570168892.313346,0.000000,-0.000000,0.000000
3570168892.323348,0.000000,-0.000000,0.000000
3570168892.333348,0.000000,-0.000000,0.000000
3570168892.343348,0.000000,-0.000000,0.000000
3570168892.353350,0.000000,-0.000000,0.000000
3570168892.363350,0.000000,-0.000000,0.000000
3570168892.373350,0.000000,-0.000000,0.000000
3570168892.383350,0.000000,-0.000000,0.000000
3570168892.393351,0.000000,-0.000000,0.000000
3570168892.403350,0.000000,-0.000000,0.000000
3570168892.413352,0.000000,-0.000000,0.000000
3570168892.423352,0.000000,-0.000000,0.000000
3570168892.433351,0.000000,-0.000000,0.000000
3570168892.443352,0.000000,-0.000000,0.000000
3570168892.453351,0.000000,-0.000000,0.000000
3570168892.463352,0.000000,-0.000000,0.000000
3570168892.473353,0.000000,-0.000000,0.000000
3570168892.483354,0.000000,-0.000000,0.000000
3570168892.493353,0.000000,-0.000000,0.000000
3570168892.503355,0.000000,-0.000000,0.000000
3570168892.513352,0.000000,-0.000000,0.000000
3570168892.523354,0.000000,-0.000000,0.000000
3570168892.533355,0.000000,-0.000000,0.000000
3570168892.543355,0.000000,-0.000000,0.000000
3570168892.553354,0.000000,-0.000000,0.000000
3570168892.563356,0.000000,-0.000000,0.000000
3570168892.573355,0.000000,-0.000000,0.000000
3570168892.583355,0.000000,-0.000000,0.000000
3570168892.593357,0.000000,-0.000000,0.000000
3570168892.603357,0.000000,-0.000000,0.000000
3570168892.613356,0.000000,-0.000000,0.000000
3570168892.623357,0.000000,-0.000000,0.000000
3570168892.633358,0.000000,-0.000000,0.000000
3570168892.643357,0.000000,-0.000000,0.000000
3570168892.653358,0.000000,-0.000000,0.000000
3570168892.663360,0.000000,-0.000000,0.000000
3570168892.673358,0.000000,-0.000000,0.000000
3570168892.683359,0.000000,-0.000000,0.000000
3570168892.693360,0.000000,-0.000000,0.000000
3570168892.703358,0.000000,-0.000000,0.000000
3570168892.713359,0.000000,-0.000000,0.000000
3570168892.723361,0.000000,-0.000000,0.000000
3570168892.733360,0.000000,-0.000000,0.000000
3570168892.743361,0.000000,-0.000000,0.000000
3570168892.753361,0.000000,-0.000000,0.000000
3570168892.763360,0.000000,-0.000000,0.000000
3570168892.773362,0.000000,-0.000000,0.000000
3570168892.783363,0.000000,-0.000000,0.000000
