Absolute Time,psi_out,u_hat,u_true
3570169457.387567,0.000000,0.000765,0.000769
3570169457.397573,0.000000,0.000765,0.000769
3570169457.407573,0.000000,0.000764,0.000768
3570169457.417573,0.000000,0.000764,0.000768
3570169457.427572,0.000000,0.000764,0.000768
3570169457.437574,0.000000,0.000763,0.000768
3570169457.447574,0.000000,0.000763,0.000767
3570169457.457575,0.000000,0.000763,0.000767
3570169457.467575,0.000000,0.000762,0.000767
3570169457.477575,0.000000,0.000762,0.000766
3570169457.487570,0.000000,0.000762,0.000766
3570169457.497576,0.000000,0.000762,0.000766
3570169457.507576,0.000000,0.000761,0.000765
3570169457.517577,0.000000,0.000761,0.000765
3570169457.527575,0.000000,0.000761,0.000765
3570169457.537576,0.000000,0.000760,0.000765
3570169457.547577,0.000000,0.000760,0.000764
3570169457.557578,0.000000,0.000760,0.000764
3570169457.567577,0.000000,0.000760,0.000764
3570169457.577579,0.000000,0.000759,0.000763
3570169457.587574,0.000000,0.000759,0.000763
3570169457.597579,0.000000,0.000759,0.000763
3570169457.607578,0.000000,0.000758,0.000762
3570169457.617578,0.000000,0.000758,0.000762
3570169457.627580,0.000000,0.000758,0.000762
3570169457.637581,0.000000,0.000757,0.000762
3570169457.647582,0.000000,0.000757,0.000761
3570169457.657579,0.000000,0.000757,0.000761
3570169457.667580,0.000000,0.000757,0.000761
3570169457.677581,0.000000,0.000756,0.000760
3570169457.687575,0.000000,0.000756,0.000760
3570169457.697582,0.000000,0.000756,0.000760
3570169457.707581,0.000000,0.000755,0.000760
3570169457.717581,0.000000,0.000755,0.000759
3570169457.727581,0.000000,0.000755,0.000759
3570169457.737581,0.000000,0.000754,0.000759
3570169457.747582,0.000000,0.000754,0.000758
3570169457.757583,0.000000,0.000754,0.000758
3570169457.767582,0.000000,0.000754,0.000758
3570169457.777584,0.000000,0.000753,0.000757
3570169457.787579,0.000000,0.000753,0.000757
3570169457.797584,0.000000,0.000753,0.000757
3570169457.807584,0.000000,0.000752,0.000757
3570169457.817585,0.000000,0.000752,0.000756
3570169457.827583,0.000000,0.000752,0.000756
3570169457.837586,0.000000,0.000752,0.000756
3570169457.847585,0.000000,0.000751,0.000755
3570169457.857586,0.000000,0.000751,0.000755
3570169457.867586,0.000000,0.000751,0.000755
3570169457.877586,0.000000,0.000750,0.000754
3570169457.887581,0.000000,0.000750,0.000754
3570169457.897587,0.000000,0.000750,0.000754
3570169457.907587,0.000000,0.000749,0.000754
3570169457.917587,0.000000,0.000749,0.000753
3570169457.927588,0.000000,0.000749,0.000753
3570169457.937589,0.000000,0.000749,0.000753
3570169457.947588,0.000000,0.000748,0.000752
3570169457.957590,0.000000,0.000748,0.000752
3570169457.967588,0.000000,0.000748,0.000752
3570169457.977589,0.000000,0.000747,0.000752
3570169457.987584,0.000000,0.000747,0.000751
3570169457.997590,0.000000,0.000747,0.000751
3570169458.007590,0.000000,0.000747,0.000751
3570169458.017591,0.000000,0.000746,0.000750
3570169458.027588,0.000000,0.000746,0.000750
3570169458.037591,0.000000,0.000746,0.000750
3570169458.047591,0.000000,0.000745,0.000750
3570169458.057592,0.000000,0.000745,0.000749
3570169458.067591,0.000000,0.000745,0.000749
3570169458.077591,0.000000,0.000745,0.000749
3570169458.087587,0.000000,0.000744,0.000748
3570169458.097593,0.000000,0.000744,0.000748
3570169458.107592,0.000000,0.000744,0.000748
3570169458.117594,0.000000,0.000743,0.000747
3570169458.127591,0.000000,0.000743,0.000747
3570169458.137594,0.000000,0.000743,0.000747
3570169458.147594,0.000000,0.000743,0.000747
3570169458.157595,0.000000,0.000742,0.000746
3570169458.167595,0.000000,0.000742,0.000746
3570169458.177595,0.000000,0.000742,0.000746
3570169458.187590,0.000000,0.000741,0.000745
3570169458.197595,0.000000,0.000741,0.000745
3570169458.207596,0.000000,0.000741,0.000745
3570169458.217596,0.000000,0.000740,0.000745
3570169458.227596,0.000000,0.000740,0.000744
3570169458.237597,0.000000,0.000740,0.000744
3570169458.247596,0.000000,0.000740,0.000744
3570169458.257596,0.000000,0.000739,0.000743
3570169458.267598,0.000000,0.000739,0.000743
3570169458.277597,0.000000,0.000739,0.000743
3570169458.287592,0.000000,0.000738,0.000743
3570169458.297599,0.000000,0.000738,0.000742
3570169458.307599,0.000000,0.000738,0.000742
3570169458.317599,0.000000,0.000738,0.000742
3570169458.327598,0.000000,0.000737,0.000741
3570169458.337600,0.000000,0.000737,0.000741
3570169458.347600,0.000000,0.000737,0.000741
3570169458.357601,0.000000,0.000736,0.000740
3570169458.367600,0.000000,0.000736,0.000740
3570169458.377600,0.000000,0.000736,0.000740
3570169458.387596,0.000000,0.000736,0.000740
3570169458.397601,0.000000,0.000735,0.000739
3570169458.407601,0.000000,0.000735,0.000739
3570169458.417603,0.000000,0.000735,0.000739
3570169458.427600,0.000000,0.000734,0.000738
3570169458.437602,0.000000,0.000734,0.000738
3570169458.447603,0.000000,0.000734,0.000738
3570169458.457602,0.000000,0.000734,0.000738
3570169458.467604,0.000000,0.000733,0.000737
3570169458.477604,0.000000,0.000733,0.000737
3570169458.487598,0.000000,0.000733,0.000737
3570169458.497604,0.000000,0.000732,0.000736
3570169458.507605,0.000000,0.000732,0.000736
3570169458.517604,0.000000,0.000732,0.000736
3570169458.527604,0.000000,0.000732,0.000736
3570169458.537605,0.000000,0.000731,0.000735
3570169458.547605,0.000000,0.000731,0.000735
3570169458.557606,0.000000,0.000731,0.000735
3570169458.567605,0.000000,0.000730,0.000734
3570169458.577606,0.000000,0.000730,0.000734
3570169458.587601,0.000000,0.000730,0.000734
3570169458.597607,0.000000,0.000730,0.000734
3570169458.607606,0.000000,0.000729,0.000733
3570169458.617607,0.000000,0.000729,0.000733
3570169458.627609,0.000000,0.000729,0.000733
3570169458.637608,0.000000,0.000728,0.000732
3570169458.647607,0.000000,0.000728,0.000732
3570169458.657609,0.000000,0.000728,0.000732
3570169458.667610,0.000000,0.000728,0.000732
3570169458.677609,0.000000,0.000727,0.000731
3570169458.687604,0.000000,0.000727,0.000731
3570169458.697609,0.000000,0.000727,0.000731
3570169458.707610,0.000000,0.000726,0.000730
3570169458.717611,0.000000,0.000726,0.000730
3570169458.727608,0.000000,0.000726,0.000730
3570169458.737610,0.000000,0.000726,0.000730
3570169458.747611,0.000000,0.000725,0.000729
3570169458.757611,0.000000,0.000725,0.000729
3570169458.767612,0.000000,0.000725,0.000729
