Absolute Time,psi_out,u_hat,u_true
3570169254.463829,0.000000,0.000584,0.001034
3570169254.473830,0.000000,0.000584,0.001034
3570169254.483830,0.000000,0.000584,0.001033
3570169254.493830,0.000000,0.000583,0.001033
3570169254.503831,0.000000,0.000583,0.001032
3570169254.513832,0.000000,0.000583,0.001032
3570169254.523830,0.000000,0.000583,0.001032
3570169254.533832,0.000000,0.000582,0.001031
3570169254.543832,0.000000,0.000582,0.001031
3570169254.553833,0.000000,0.000582,0.001030
3570169254.563833,0.000000,0.000581,0.001030
3570169254.573833,0.000000,0.000581,0.001030
3570169254.583833,0.000000,0.000581,0.001029
3570169254.593832,0.000000,0.000581,0.001029
3570169254.603834,0.000000,0.000580,0.001028
3570169254.613834,0.000000,0.000580,0.001028
3570169254.623833,0.000000,0.000580,0.001028
3570169254.633834,0.000000,0.000580,0.001027
3570169254.643835,0.000000,0.000579,0.001027
3570169254.653835,0.000000,0.000579,0.001026
3570169254.663836,0.000000,0.000579,0.001026
3570169254.673836,0.000000,0.000579,0.001026
3570169254.683836,0.000000,0.000578,0.001025
3570169254.693837,0.000000,0.000578,0.001025
3570169254.703836,0.000000,0.000578,0.001024
3570169254.713837,0.000000,0.000578,0.001024
3570169254.723835,0.000000,0.000577,0.001024
3570169254.733838,0.000000,0.000577,0.001023
3570169254.743837,0.000000,0.000577,0.001023
3570169254.753838,0.000000,0.000577,0.001022
3570169254.763838,0.000000,0.000576,0.001022
3570169254.773839,0.000000,0.000576,0.001022
3570169254.783839,0.000000,0.000576,0.001021
3570169254.793839,0.000000,0.000576,0.001021
3570169254.803840,0.000000,0.000575,0.001020
3570169254.813839,0.000000,0.000575,0.001020
3570169254.823840,0.000000,0.000575,0.001020
3570169254.833838,0.000000,0.000575,0.001019
3570169254.843840,0.000000,0.000574,0.001019
3570169254.853840,0.000000,0.000574,0.001018
3570169254.863841,0.000000,0.000574,0.001018
3570169254.873841,0.000000,0.000574,0.001018
3570169254.883842,0.000000,0.000573,0.001017
3570169254.893842,0.000000,0.000573,0.001017
3570169254.903842,0.000000,0.000573,0.001016
3570169254.913843,0.000000,0.000573,0.001016
3570169254.923842,0.000000,0.000572,0.001016
3570169254.933843,0.000000,0.000572,0.001015
3570169254.943843,0.000000,0.000572,0.001015
3570169254.953844,0.000000,0.000572,0.001014
3570169254.963844,0.000000,0.000571,0.001014
3570169254.973844,0.000000,0.000571,0.001014
3570169254.983845,0.000000,0.000571,0.001013
3570169254.993845,0.000000,0.000570,0.001013
3570169255.003845,0.000000,0.000570,0.001012
3570169255.013845,0.000000,0.000570,0.001012
3570169255.023845,0.000000,0.000570,0.001012
3570169255.033846,0.000000,0.000569,0.001011
3570169255.043846,0.000000,0.000569,0.001011
3570169255.053846,0.000000,0.000569,0.001010
3570169255.063846,0.000000,0.000569,0.001010
3570169255.073848,0.000000,0.000568,0.001010
3570169255.083848,0.000000,0.000568,0.001009
3570169255.093848,0.000000,0.000568,0.001009
3570169255.103847,0.000000,0.000568,0.001008
3570169255.113847,0.000000,0.000567,0.001008
3570169255.123848,0.000000,0.000567,0.001008
3570169255.133848,0.000000,0.000567,0.001007
3570169255.143848,0.000000,0.000567,0.001007
3570169255.153849,0.000000,0.000566,0.001007
3570169255.163850,0.000000,0.000566,0.001006
3570169255.173850,0.000000,0.000566,0.001006
3570169255.183850,0.000000,0.000566,0.001005
3570169255.193851,0.000000,0.000565,0.001005
3570169255.203850,0.000000,0.000565,0.001005
3570169255.213851,0.000000,0.000565,0.001004
3570169255.223850,0.000000,0.000565,0.001004
3570169255.233852,0.000000,0.000564,0.001003
3570169255.243851,0.000000,0.000564,0.001003
3570169255.253853,0.000000,0.000564,0.001003
3570169255.263853,0.000000,0.000564,0.001002
3570169255.273853,0.000000,0.000563,0.001002
3570169255.283853,0.000000,0.000563,0.001001
3570169255.293853,0.000000,0.000563,0.001001
3570169255.303854,0.000000,0.000563,0.001001
3570169255.313854,0.000000,0.000562,0.001000
3570169255.323853,0.000000,0.000562,0.001000
3570169255.333854,0.000000,0.000562,0.000999
3570169255.343854,0.000000,0.000562,0.000999
3570169255.353855,0.000000,0.000561,0.000999
3570169255.363855,0.000000,0.000561,0.000998
3570169255.373856,0.000000,0.000561,0.000998
3570169255.383856,0.000000,0.000561,0.000998
3570169255.393856,0.000000,0.000560,0.000997
3570169255.403857,0.000000,0.000560,0.000997
3570169255.413857,0.000000,0.000560,0.000996
3570169255.423857,0.000000,0.000560,0.000996
3570169255.433857,0.000000,0.000559,0.000996
3570169255.443857,0.000000,0.000559,0.000995
3570169255.453858,0.000000,0.000559,0.000995
3570169255.463859,0.000000,0.000559,0.000994
3570169255.473858,0.000000,0.000558,0.000994
3570169255.483858,0.000000,0.000558,0.000994
3570169255.493860,0.000000,0.000558,0.000993
3570169255.503860,0.000000,0.000558,0.000993
3570169255.513860,0.000000,0.000557,0.000992
3570169255.523859,0.000000,0.000557,0.000992
3570169255.533861,0.000000,0.000557,0.000992
3570169255.543859,0.000000,0.000557,0.000991
3570169255.553862,0.000000,0.000557,0.000991
3570169255.563861,0.000000,0.000556,0.000991
3570169255.573861,0.000000,0.000556,0.000990
3570169255.583861,0.000000,0.000556,0.000990
3570169255.593862,0.000000,0.000556,0.000989
3570169255.603863,0.000000,0.000555,0.000989
3570169255.613863,0.000000,0.000555,0.000989
3570169255.623862,0.000000,0.000555,0.000988
3570169255.633862,0.000000,0.000555,0.000988
3570169255.643863,0.000000,0.000554,0.000987
3570169255.653864,0.000000,0.000554,0.000987
3570169255.663864,0.000000,0.000554,0.000987
3570169255.673864,0.000000,0.000554,0.000986
3570169255.683865,0.000000,0.000553,0.000986
3570169255.693865,0.000000,0.000553,0.000986
3570169255.703865,0.000000,0.000553,0.000985
3570169255.713866,0.000000,0.000553,0.000985
3570169255.723865,0.000000,0.000552,0.000984
3570169255.733866,0.000000,0.000552,0.000984
3570169255.743866,0.000000,0.000552,0.000984
3570169255.753867,0.000000,0.000552,0.000983
3570169255.763866,0.000000,0.000551,0.000983
3570169255.773867,0.000000,0.000551,0.000982
3570169255.783867,0.000000,0.000551,0.000982
3570169255.793867,0.000000,0.000551,0.000982
3570169255.803869,0.000000,0.000550,0.000981
3570169255.813867,0.000000,0.000550,0.000981
3570169255.823868,0.000000,0.000550,0.000981
3570169255.833867,0.000000,0.000550,0.000980
3570169255.843869,0.000000,0.000549,0.000980
3570169255.853870,0.000000,0.000549,0.000979
3570169255.863870,0.000000,0.000549,0.000979
3570169255.873870,0.000000,0.000549,0.000979
3570169255.883870,0.000000,0.000548,0.000978
3570169255.893870,0.000000,0.000548,0.000978
3570169255.903871,0.000000,0.000548,0.000977
3570169255.913872,0.000000,0.000548,0.000977
3570169255.923870,0.000000,0.000547,0.000977
3570169255.933871,0.000000,0.000547,0.000976
3570169255.943871,0.000000,0.000547,0.000976
3570169255.953872,0.000000,0.000547,0.000976
3570169255.963871,0.000000,0.000546,0.000975
3570169255.973873,0.000000,0.000546,0.000975
3570169255.983873,0.000000,0.000546,0.000974
3570169255.993874,0.000000,0.000546,0.000974
3570169256.003874,0.000000,0.000546,0.000974
3570169256.013874,0.000000,0.000545,0.000973
3570169256.023875,0.000000,0.000545,0.000973
3570169256.033875,0.000000,0.000545,0.000973
3570169256.043874,0.000000,0.000545,0.000972
3570169256.053875,0.000000,21.034359,0.000972
3570169256.063875,0.000000,21.034363,0.000971
3570169256.073876,0.000000,-2.908747,0.000971
3570169256.083876,0.000000,-26.851870,0.000971
3570169256.093877,0.000000,-26.760497,0.000970
3570169256.103876,0.000000,22.920745,0.000970
3570169256.113877,0.000000,72.097849,0.000970
3570169256.123876,0.000000,41.151590,0.000969
3570169256.133877,0.000000,-917.963821,0.000969
3570169256.143877,0.000000,-1096.425518,0.000968
3570169256.153879,0.000000,1979343.346605,0.000968
3570169256.163878,0.000000,5353994.831938,0.000968
3570169256.173878,0.000000,-19855942991174840.000000,0.000967
3570169256.183879,0.000000,-412827363230018304.000000,0.000967
3570169256.193879,0.000000,20044659481418174300000000000000000000000000000.000000,0.000966
3570169256.203880,0.000000,180169336063785430000000000000000000000000000000000.000000,0.000966
3570169256.213880,0.000000,-20621638991198246300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,0.000966
3570169256.223878,0.000000,-14975101185315479500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.000000,0.000965
3570169256.233880,0.000000,Inf,0.000965
3570169256.243880,0.000000,Inf,0.000965
3570169256.253881,0.000000,NaN,0.000964
3570169256.263882,0.000000,NaN,0.000964
3570169256.273882,0.000000,NaN,0.000963
3570169256.283880,0.000000,NaN,0.000963
3570169256.293882,0.000000,NaN,0.000963
3570169256.303882,0.000000,NaN,0.000962
3570169256.313882,0.000000,NaN,0.000962
3570169256.323882,0.000000,NaN,0.000962
3570169256.333883,0.000000,NaN,0.000961
3570169256.343883,0.000000,NaN,0.000961
3570169256.353884,0.000000,NaN,0.000960
3570169256.363883,0.000000,NaN,0.000960
3570169256.373885,0.000000,NaN,0.000960
3570169256.383884,0.000000,NaN,0.000959
3570169256.393885,0.000000,NaN,0.000959
3570169256.403885,0.000000,NaN,0.000959
3570169256.413886,0.000000,NaN,0.000958
3570169256.423885,0.000000,NaN,0.000958
3570169256.433886,0.000000,NaN,0.000957
3570169256.443886,0.000000,NaN,0.000957
3570169256.453888,0.000000,NaN,0.000957
3570169256.463887,0.000000,NaN,0.000956
3570169256.473886,0.000000,NaN,0.000956
3570169256.483888,0.000000,NaN,0.000956
3570169256.493888,0.000000,NaN,0.000955
3570169256.503888,0.000000,NaN,0.000955
3570169256.513890,0.000000,NaN,0.000954
3570169256.523887,0.000000,NaN,0.000954
3570169256.533888,0.000000,NaN,0.000954
3570169256.543888,0.000000,NaN,0.000953
3570169256.553889,0.000000,NaN,0.000953
3570169256.563890,0.000000,NaN,0.000953
3570169256.573890,0.000000,NaN,0.000952
3570169256.583890,0.000000,NaN,0.000952
3570169256.593891,0.000000,NaN,0.000952
3570169256.603891,0.000000,NaN,0.000951
3570169256.613891,0.000000,NaN,0.000951
3570169256.623890,0.000000,NaN,0.000950
3570169256.633892,0.000000,NaN,0.000950
3570169256.643892,0.000000,NaN,0.000950
3570169256.653893,0.000000,NaN,0.000949
3570169256.663893,0.000000,NaN,0.000949
3570169256.673893,0.000000,NaN,0.000949
3570169256.683893,0.000000,NaN,0.000948
3570169256.693894,0.000000,NaN,0.000948
3570169256.703893,0.000000,NaN,0.000947
3570169256.713894,0.000000,NaN,0.000947
3570169256.723894,0.000000,NaN,0.000947
3570169256.733894,0.000000,NaN,0.000946
3570169256.743894,0.000000,NaN,0.000946
3570169256.753895,0.000000,NaN,0.000946
3570169256.763896,0.000000,NaN,0.000945
3570169256.773895,0.000000,NaN,0.000945
3570169256.783896,0.000000,NaN,0.000944
3570169256.793896,0.000000,NaN,0.000944
3570169256.803896,0.000000,NaN,0.000944
3570169256.813896,0.000000,NaN,0.000943
3570169256.823896,0.000000,NaN,0.000943
3570169256.833895,0.000000,NaN,0.000943
3570169256.843897,0.000000,NaN,0.000942
3570169256.853899,0.000000,NaN,0.000942
3570169256.863899,0.000000,NaN,0.000942
3570169256.873899,0.000000,NaN,0.000941
3570169256.883899,0.000000,NaN,0.000941
3570169256.893899,0.000000,NaN,0.000940
3570169256.903899,0.000000,NaN,0.000940
3570169256.913899,0.000000,NaN,0.000940
3570169256.923900,0.000000,NaN,0.000939
3570169256.933900,0.000000,NaN,0.000939
3570169256.943900,0.000000,NaN,0.000939
3570169256.953901,0.000000,NaN,0.000938
3570169256.963901,0.000000,NaN,0.000938
3570169256.973901,0.000000,NaN,0.000938
3570169256.983901,0.000000,NaN,0.000937
3570169256.993902,0.000000,NaN,0.000937
3570169257.003903,0.000000,NaN,0.000936
3570169257.013903,0.000000,NaN,0.000936
3570169257.023901,0.000000,NaN,0.000936
3570169257.033903,0.000000,NaN,0.000935
3570169257.043903,0.000000,NaN,0.000935
3570169257.053904,0.000000,NaN,0.000935
3570169257.063904,0.000000,NaN,0.000934
3570169257.073905,0.000000,NaN,0.000934
3570169257.083905,0.000000,NaN,0.000934
3570169257.093905,0.000000,NaN,0.000933
3570169257.103905,0.000000,NaN,0.000933
3570169257.113905,0.000000,NaN,0.000932
3570169257.123904,0.000000,NaN,0.000932
3570169257.133906,0.000000,NaN,0.000932
3570169257.143905,0.000000,NaN,0.000931
3570169257.153907,0.000000,NaN,0.000931
3570169257.163907,0.000000,NaN,0.000931
3570169257.173908,0.000000,NaN,0.000930
3570169257.183907,0.000000,NaN,0.000930
3570169257.193908,0.000000,NaN,0.000930
3570169257.203907,0.000000,NaN,0.000929
3570169257.213908,0.000000,NaN,0.000929
3570169257.223907,0.000000,NaN,0.000928
3570169257.233909,0.000000,NaN,0.000928
3570169257.243908,0.000000,NaN,0.000928
3570169257.253910,0.000000,NaN,0.000927
3570169257.263910,0.000000,NaN,0.000927
3570169257.273910,0.000000,NaN,0.000927
3570169257.283910,0.000000,NaN,0.000926
3570169257.293911,0.000000,NaN,0.000926
3570169257.303911,0.000000,NaN,0.000926
3570169257.313912,0.000000,NaN,0.000925
3570169257.323911,0.000000,NaN,0.000925
3570169257.333912,0.000000,NaN,0.000924
3570169257.343912,0.000000,NaN,0.000924
3570169257.353913,0.000000,NaN,0.000924
3570169257.363913,0.000000,NaN,0.000923
3570169257.373913,0.000000,NaN,0.000923
3570169257.383913,0.000000,NaN,0.000923
3570169257.393913,0.000000,NaN,0.000922
3570169257.403914,0.000000,NaN,0.000922
3570169257.413915,0.000000,NaN,0.000922
3570169257.423913,0.000000,NaN,0.000921
3570169257.433914,0.000000,NaN,0.000921
3570169257.443914,0.000000,NaN,0.000920
3570169257.453916,0.000000,NaN,0.000920
3570169257.463915,0.000000,NaN,0.000920
3570169257.473916,0.000000,NaN,0.000919
3570169257.483916,0.000000,NaN,0.000919
3570169257.493916,0.000000,NaN,0.000919
3570169257.503917,0.000000,NaN,0.000918
3570169257.513917,0.000000,NaN,0.000918
3570169257.523916,0.000000,NaN,0.000918
3570169257.533918,0.000000,NaN,0.000917
3570169257.543918,0.000000,NaN,0.000917
3570169257.553918,0.000000,NaN,0.000917
3570169257.563919,0.000000,NaN,0.000916
3570169257.573919,0.000000,NaN,0.000916
3570169257.583919,0.000000,NaN,0.000915
3570169257.593919,0.000000,NaN,0.000915
3570169257.603919,0.000000,NaN,0.000915
