Absolute Time,u_hat,u_true,psi_error,psi_hat,psi_m
3571895055.018423,-0.012340,-0.008204,0.000015,0.124756,0.124771
3571895055.028423,-0.012332,-0.008200,0.000015,0.124756,0.124771
3571895055.038424,-0.012325,-0.008197,0.000015,0.124756,0.124771
3571895055.048425,-0.012317,-0.008194,0.000015,0.124756,0.124771
3571895055.058424,-0.012310,-0.008191,0.000015,0.124756,0.124771
3571895055.068424,-0.012302,-0.008188,0.000015,0.124756,0.124771
3571895055.078424,-0.012294,-0.008184,0.000015,0.124756,0.124771
3571895055.088426,-0.012287,-0.008181,0.000015,0.124756,0.124771
3571895055.098424,-0.012279,-0.008178,0.000015,0.124756,0.124771
3571895055.108427,-0.012272,-0.008175,0.000015,0.124756,0.124771
3571895055.118425,-0.012264,-0.008172,0.000015,0.124756,0.124771
3571895055.128427,-0.012257,-0.008168,0.000015,0.124756,0.124771
3571895055.138425,-0.012249,-0.008165,0.000015,0.124756,0.124771
3571895055.148427,-0.012242,-0.008162,0.000015,0.124756,0.124771
3571895055.158427,-0.012234,-0.008159,0.000015,0.124756,0.124771
3571895055.168427,-0.012227,-0.008156,0.000015,0.124757,0.124771
3571895055.178427,-0.012219,-0.008152,0.000015,0.124757,0.124771
3571895055.188428,-0.012212,-0.008149,0.000015,0.124757,0.124771
3571895055.198428,-0.012204,-0.008146,0.000015,0.124757,0.124771
3571895055.208429,-0.012197,-0.008143,0.000015,0.124757,0.124771
3571895055.218429,-0.012189,-0.008140,0.000015,0.124757,0.124771
3571895055.228429,-0.012182,-0.008136,0.000015,0.124757,0.124771
3571895055.238430,-0.012174,-0.008133,0.000015,0.124757,0.124771
3571895055.248429,-0.012167,-0.008130,0.000015,0.124757,0.124771
3571895055.258429,-0.012159,-0.008127,0.000015,0.124757,0.124771
3571895055.268430,-0.012152,-0.008124,0.000015,0.124757,0.124771
3571895055.278430,-0.012144,-0.008120,0.000015,0.124757,0.124771
3571895055.288430,-0.012137,-0.008117,0.000015,0.124757,0.124772
3571895055.298431,-0.012130,-0.008114,0.000015,0.124757,0.124772
3571895055.308432,-0.012122,-0.008111,0.000015,0.124757,0.124772
3571895055.318431,-0.012115,-0.008108,0.000015,0.124757,0.124772
3571895055.328432,-0.012107,-0.008105,0.000015,0.124757,0.124772
3571895055.338431,-0.012100,-0.008101,0.000015,0.124757,0.124772
3571895055.348432,-0.012092,-0.008098,0.000015,0.124757,0.124772
3571895055.358432,-0.012085,-0.008095,0.000015,0.124757,0.124772
3571895055.368433,-0.012078,-0.008092,0.000015,0.124757,0.124772
3571895055.378431,-0.012070,-0.008089,0.000015,0.124757,0.124772
3571895055.388433,-0.012063,-0.008085,0.000015,0.124757,0.124772
3571895055.398433,-0.012056,-0.008082,0.000014,0.124757,0.124772
3571895055.408434,-0.012048,-0.008079,0.000014,0.124757,0.124772
3571895055.418434,-0.012041,-0.008076,0.000014,0.124757,0.124772
3571895055.428434,-0.012033,-0.008073,0.000014,0.124757,0.124772
3571895055.438435,-0.012026,-0.008070,0.000014,0.124757,0.124772
3571895055.448435,-0.012019,-0.008066,0.000014,0.124757,0.124772
3571895055.458435,-0.012011,-0.008063,0.000014,0.124757,0.124772
3571895055.468435,-0.012004,-0.008060,0.000014,0.124757,0.124772
3571895055.478434,-0.011997,-0.008057,0.000014,0.124757,0.124772
3571895055.488436,-0.011989,-0.008054,0.000014,0.124757,0.124772
3571895055.498436,-0.011982,-0.008051,0.000014,0.124758,0.124772
3571895055.508437,-0.011975,-0.008047,0.000014,0.124758,0.124772
3571895055.518435,-0.011967,-0.008044,0.000014,0.124758,0.124772
3571895055.528437,-0.011960,-0.008041,0.000014,0.124758,0.124772
3571895055.538436,-0.011953,-0.008038,0.000014,0.124758,0.124772
3571895055.548437,-0.011945,-0.008035,0.000014,0.124758,0.124772
3571895055.558437,-0.011938,-0.008032,0.000014,0.124758,0.124772
3571895055.568438,-0.011931,-0.008029,0.000014,0.124758,0.124772
3571895055.578436,-0.011924,-0.008025,0.000014,0.124758,0.124772
3571895055.588438,-0.011916,-0.008022,0.000014,0.124758,0.124772
3571895055.598437,-0.011909,-0.008019,0.000014,0.124758,0.124772
3571895055.608439,-0.011902,-0.008016,0.000014,0.124758,0.124772
3571895055.618438,-0.011895,-0.008013,0.000014,0.124758,0.124772
3571895055.628439,-0.011887,-0.008010,0.000014,0.124758,0.124772
3571895055.638439,-0.011880,-0.008007,0.000014,0.124758,0.124772
3571895055.648440,-0.011873,-0.008003,0.000014,0.124758,0.124772
3571895055.658441,-0.011866,-0.008000,0.000013,0.124758,0.124772
3571895055.668441,-0.011858,-0.007997,0.000013,0.124758,0.124772
3571895055.678440,-0.011851,-0.007994,0.000013,0.124758,0.124772
3571895055.688440,-0.011844,-0.007991,0.000013,0.124759,0.124772
