Absolute Time,u_hat,u_true,psi_error,psi_hat,psi_m
3571894374.701416,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.711417,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.721416,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.731416,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.741417,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.751418,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.761416,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.771417,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.781412,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.791418,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.801418,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.811418,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.821418,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.831419,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.841419,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.851419,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.861419,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.871420,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.881414,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.891420,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.901421,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.911420,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.921422,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.931422,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.941422,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.951423,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.961422,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.971422,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.981417,0.000000,0.000000,0.000000,0.000000,0.000000
3571894374.991424,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.001424,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.011424,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.021424,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.031425,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.041424,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.051425,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.061425,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.071424,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.081420,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.091426,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.101426,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.111426,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.121427,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.131426,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.141426,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.151427,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.161426,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.171429,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.181423,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.191429,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.201429,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.211430,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.221427,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.231430,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.241429,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.251430,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.261429,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.271430,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.281425,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.291431,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.301431,0.000000,0.000000,0.000000,0.000000,0.000000
3571894375.311431,0.000000,0.000000,0.000000,0.000000,0.000000
