Absolute Time,u_hat,u_true,x_hat,x_m,x-error
3571895396.907495,-0.007970,-0.001790,-13.764703,-13.590468,0.174234
3571895396.917496,-0.008087,-0.001789,-13.763122,-13.590468,0.172654
3571895396.927496,-0.008202,-0.001788,-13.761557,-13.593564,0.167993
3571895396.937496,-0.008316,-0.001788,-13.760007,-13.593564,0.166443
3571895396.947497,-0.008313,-0.001787,-13.758405,-13.593564,0.164841
3571895396.957496,-0.008307,-0.001786,-13.756817,-13.593564,0.163253
3571895396.967496,-0.008302,-0.001785,-13.755244,-13.593564,0.161680
3571895396.977498,-0.008296,-0.001785,-13.753687,-13.593564,0.160122
3571895396.987497,-0.008290,-0.001784,-13.752143,-13.593564,0.158579
3571895396.997492,-0.008285,-0.001783,-13.750614,-13.593564,0.157050
3571895397.007498,-0.008279,-0.001783,-13.749100,-13.593564,0.155535
3571895397.017499,-0.008273,-0.001782,-13.747599,-13.593564,0.154035
3571895397.027498,-0.008268,-0.001781,-13.746113,-13.822628,-0.076515
3571895397.037499,-0.008262,-0.001781,-13.744639,-13.822628,-0.077988
3571895397.047500,-0.008272,-0.001780,-13.745581,-13.822628,-0.077046
3571895397.057500,-0.008282,-0.001779,-13.746536,-13.822628,-0.076092
3571895397.067501,-0.008293,-0.001779,-13.747481,-13.822628,-0.075146
3571895397.077500,-0.008303,-0.001778,-13.748417,-13.822628,-0.074210
3571895397.087500,-0.008313,-0.001777,-13.749344,-13.822628,-0.073284
3571895397.097500,-0.008323,-0.001777,-13.750261,-13.822628,-0.072366
3571895397.107502,-0.008333,-0.001776,-13.751170,-13.822628,-0.071458
3571895397.117501,-0.008342,-0.001775,-13.752069,-13.822628,-0.070559
3571895397.127502,-0.008352,-0.001775,-13.752960,-13.508618,0.244342
3571895397.137502,-0.008361,-0.001774,-13.753841,-13.508618,0.245223
3571895397.147501,-0.008436,-0.001773,-13.751545,-13.508618,0.242928
3571895397.157503,-0.008510,-0.001773,-13.749241,-13.508618,0.240623
3571895397.167503,-0.008584,-0.001772,-13.746958,-13.508618,0.238340
3571895397.177503,-0.008657,-0.001771,-13.744697,-13.508618,0.236079
