Absolute Time,u_hat,u_true,y_hat,y_m,y-error
3571895534.251137,-0.009241,-0.000400,-19.797248,-19.804652,-0.007404
3571895534.261137,-0.009213,-0.000399,-19.797427,-19.804652,-0.007225
3571895534.271138,-0.009186,-0.000399,-19.797603,-19.804652,-0.007049
3571895534.281138,-0.009159,-0.000399,-19.797778,-19.804652,-0.006874
3571895534.291138,-0.009132,-0.000399,-19.797952,-19.804652,-0.006700
3571895534.301139,-0.009105,-0.000399,-19.798124,-19.804652,-0.006528
3571895534.311139,-0.009079,-0.000399,-19.798295,-19.804652,-0.006358
3571895534.321139,-0.009053,-0.000398,-19.798464,-19.804652,-0.006189
3571895534.331140,-0.009026,-0.000398,-19.798631,-20.109193,-0.310561
3571895534.341139,-0.009001,-0.000398,-19.798798,-20.109193,-0.310395
3571895534.351140,-0.009179,-0.000398,-19.802005,-20.109193,-0.307187
3571895534.361140,-0.009358,-0.000398,-19.805212,-20.109193,-0.303981
3571895534.371140,-0.009535,-0.000398,-19.808388,-20.109193,-0.300805
3571895534.381141,-0.009710,-0.000398,-19.811534,-20.109193,-0.297659
3571895534.391140,-0.009883,-0.000397,-19.814650,-20.109193,-0.294543
3571895534.401141,-0.010054,-0.000397,-19.817737,-20.109193,-0.291456
3571895534.411141,-0.010224,-0.000397,-19.820794,-20.109193,-0.288398
3571895534.421142,-0.010391,-0.000397,-19.823823,-20.109193,-0.285370
3571895534.431142,-0.010556,-0.000397,-19.826823,-20.045952,-0.219129
3571895534.441143,-0.010720,-0.000397,-19.829795,-20.045952,-0.216157
3571895534.451142,-0.010609,-0.000396,-19.832110,-20.045952,-0.213843
3571895534.461143,-0.010497,-0.000396,-19.834397,-20.045952,-0.211555
3571895534.471144,-0.010385,-0.000396,-19.836662,-20.045952,-0.209290
3571895534.481143,-0.010275,-0.000396,-19.838905,-20.045952,-0.207047
3571895534.491143,-0.010166,-0.000396,-19.841127,-20.045952,-0.204826
3571895534.501144,-0.010057,-0.000396,-19.843327,-20.045952,-0.202626
3571895534.511144,-0.009950,-0.000396,-19.845505,-20.045952,-0.200447
3571895534.521145,-0.009844,-0.000395,-19.847662,-20.045952,-0.198290
3571895534.531145,-0.009739,-0.000395,-19.849799,-19.619344,0.230455
3571895534.541145,-0.009634,-0.000395,-19.851914,-19.619344,0.232571
3571895534.551146,-0.009670,-0.000395,-19.849739,-19.619344,0.230395
3571895534.561145,-0.009705,-0.000395,-19.847542,-19.619344,0.228199
3571895534.571146,-0.009741,-0.000395,-19.845367,-19.619344,0.226023
3571895534.581146,-0.009775,-0.000394,-19.843213,-19.619344,0.223869
