Absolute Time,x_in,y_in
3573107333.181608,4.172264,-26.308912
3573107333.191608,4.172879,-26.309590
3573107333.201608,4.173493,-26.310268
3573107333.211608,4.174107,-26.310946
3573107333.221608,4.174722,-26.311624
3573107333.231608,4.175336,-26.312301
3573107333.241609,4.175951,-26.312978
3573107333.251609,4.176566,-26.313654
3573107333.261609,4.177181,-26.314331
3573107333.271609,4.177797,-26.315007
3573107333.281610,4.178412,-26.315682
3573107333.291610,4.179028,-26.316358
3573107333.301611,4.179643,-26.317033
3573107333.311611,4.180259,-26.317708
3573107333.321610,4.180875,-26.318383
3573107333.331611,4.181492,-26.319057
3573107333.341610,4.182108,-26.319732
3573107333.351611,4.182724,-26.320406
3573107333.361612,4.183341,-26.321079
3573107333.371612,4.183958,-26.321753
3573107333.381612,4.184575,-26.322426
3573107333.391613,4.185192,-26.323099
3573107333.401613,4.185809,-26.323771
3573107333.411613,4.186427,-26.324443
3573107333.421614,4.187045,-26.325115
3573107333.431614,4.187662,-26.325787
3573107333.441614,4.188280,-26.326459
3573107333.451614,4.188898,-26.327130
3573107333.461615,4.189517,-26.327801
3573107333.471615,4.190135,-26.328471
3573107333.481616,4.190754,-26.329142
3573107333.491616,4.191372,-26.329812
3573107333.501616,4.191991,-26.330482
3573107333.511616,4.192610,-26.331152
3573107333.521616,4.193229,-26.331821
3573107333.531616,4.193849,-26.332490
3573107333.541618,4.194468,-26.333159
3573107333.551617,4.195088,-26.333827
3573107333.561617,4.195708,-26.334496
3573107333.571618,4.196327,-26.335164
3573107333.581618,4.196948,-26.335831
3573107333.591618,4.197568,-26.336499
3573107333.601620,4.198188,-26.337166
3573107333.611619,4.198809,-26.337833
3573107333.621619,4.199430,-26.338499
3573107333.631619,4.200050,-26.339166
3573107333.641619,4.200671,-26.339832
3573107333.651619,4.201293,-26.340498
3573107333.661621,4.201914,-26.341163
3573107333.671621,4.202535,-26.341829
3573107333.681622,4.203157,-26.342494
3573107333.691621,4.203779,-26.343159
3573107333.701622,4.204401,-26.343823
3573107333.711623,4.205023,-26.344487
3573107333.721622,4.205645,-26.345151
3573107333.731622,4.206268,-26.345815
3573107333.741622,4.206890,-26.346478
3573107333.751623,4.207513,-26.347142
3573107333.761623,4.208136,-26.347805
3573107333.771624,4.208759,-26.348467
3573107333.781624,4.209382,-26.349130
3573107333.791624,4.210006,-26.349792
3573107333.801624,4.210629,-26.350454
3573107333.811625,4.211253,-26.351115
3573107333.821625,4.211877,-26.351777
3573107333.831625,4.212501,-26.352438
3573107333.841626,4.213125,-26.353098
3573107333.851625,4.213749,-26.353759
3573107333.861626,4.214374,-26.354419
3573107333.871626,4.214998,-26.355079
3573107333.881626,4.215623,-26.355739
3573107333.891626,4.216248,-26.356398
3573107333.901627,4.216873,-26.357058
3573107333.911627,4.217498,-26.357716
3573107333.921628,4.218124,-26.358375
3573107333.931628,4.218749,-26.359034
3573107333.941627,4.219375,-26.359692
3573107333.951629,4.220001,-26.360350
3573107333.961630,4.220627,-26.361007
3573107333.971629,4.221253,-26.361665
3573107333.981630,4.221879,-26.362322
3573107333.991629,4.222506,-26.362978
3573107334.001630,4.223132,-26.363635
3573107334.011630,4.223759,-26.364291
3573107334.021632,4.224386,-26.364947
3573107334.031631,4.225013,-26.365603
3573107334.041631,4.225641,-26.366259
3573107334.051632,4.226268,-26.366914
3573107334.061632,4.226896,-26.367569
3573107334.071632,4.227523,-26.368224
3573107334.081633,4.228151,-26.368878
3573107334.091633,4.228779,-26.369532
3573107334.101633,4.229407,-26.370186
3573107334.111632,4.230036,-26.370840
3573107334.121633,4.230664,-26.371493
3573107334.131633,4.231293,-26.372146
3573107334.141635,4.231922,-26.372799
3573107334.151634,4.232551,-26.373452
3573107334.161634,4.233180,-26.374104
3573107334.171635,4.233809,-26.374756
3573107334.181635,4.234439,-26.375408
3573107334.191635,4.235068,-26.376060
3573107334.201637,4.235698,-26.376711
3573107334.211637,4.236328,-26.377362
3573107334.221636,4.236958,-26.378013
3573107334.231637,4.237588,-26.378663
3573107334.241636,4.238219,-26.379313
3573107334.251637,4.238849,-26.379963
3573107334.261638,4.239480,-26.380613
3573107334.271637,4.240111,-26.381263
3573107334.281638,4.240742,-26.381912
3573107334.291638,4.241373,-26.382561
3573107334.301639,4.242004,-26.383209
3573107334.311638,4.242636,-26.383858
3573107334.321640,4.243267,-26.384506
3573107334.331639,4.243899,-26.385154
3573107334.341639,4.244531,-26.385802
3573107334.351639,4.245163,-26.386449
3573107334.361639,4.245796,-26.387096
3573107334.371640,4.246428,-26.387743
3573107334.381641,4.247061,-26.388390
3573107334.391641,4.247693,-26.389036
3573107334.401641,4.248326,-26.389682
3573107334.411642,4.248959,-26.390328
3573107334.421642,4.249593,-26.390973
3573107334.431642,4.250226,-26.391619
3573107334.441643,4.250859,-26.392264
3573107334.451643,4.251493,-26.392908
3573107334.461643,4.252127,-26.393553
3573107334.471643,4.252761,-26.394197
3573107334.481644,4.253395,-26.394841
3573107334.491643,4.254029,-26.395485
3573107334.501646,4.254664,-26.396128
3573107334.511644,4.255299,-26.396772
3573107334.521644,4.255933,-26.397415
3573107334.531645,4.256568,-26.398057
3573107334.541645,4.257203,-26.398700
3573107334.551646,4.257839,-26.399342
3573107334.561647,4.258474,-26.399984
3573107334.571646,4.259110,-26.400626
3573107334.581646,4.259745,-26.401267
3573107334.591647,4.260381,-26.401908
3573107334.601647,4.261017,-26.402549
3573107334.611647,4.261653,-26.403190
3573107334.621648,4.262290,-26.403830
3573107334.631648,4.262926,-26.404470
3573107334.641648,4.263563,-26.405110
3573107334.651649,4.264200,-26.405750
3573107334.661648,4.264837,-26.406389
3573107334.671649,4.265474,-26.407028
3573107334.681650,4.266111,-26.407667
3573107334.691649,4.266749,-26.408306
