Absolute Time,x_in,y_in,x_hat,y_hat
3573172443.099958,10.338036,1.844869,10.325819,1.839100
3573172443.109960,10.337067,1.845320,10.324937,1.839535
3573172443.119959,10.336097,1.845771,10.324054,1.839971
3573172443.129960,10.335127,1.846222,10.323170,1.840407
3573172443.139960,10.334155,1.846674,10.322286,1.840843
3573172443.149961,10.333183,1.847126,10.321400,1.841279
3573172443.159960,10.332210,1.847577,10.320513,1.841716
3573172443.169961,10.331235,1.848030,10.319625,1.842152
3573172443.179960,10.330260,1.848482,10.318736,1.842589
3573172443.189956,10.329284,1.848934,10.317846,1.843026
3573172443.199961,10.328306,1.849387,10.316956,1.843464
3573172443.209961,10.327328,1.849840,10.316064,1.843901
3573172443.219962,10.326349,1.850293,10.315171,1.844339
3573172443.229962,10.325369,1.850746,10.314277,1.844777
3573172443.239963,10.324388,1.851199,10.313382,1.845216
3573172443.249963,10.323406,1.851653,10.312486,1.845654
3573172443.259963,10.322423,1.852106,10.311589,1.846093
3573172443.269964,10.321439,1.852560,10.310691,1.846532
3573172443.279963,10.320454,1.853014,10.309793,1.846971
3573172443.289959,10.319468,1.853468,10.308893,1.847411
3573172443.299964,10.318481,1.853923,10.307992,1.847850
3573172443.309965,10.317493,1.854377,10.307090,1.848290
3573172443.319965,10.316505,1.854832,10.306187,1.848730
3573172443.329965,10.315515,1.855287,10.305283,1.849171
3573172443.339965,10.314524,1.855742,10.304378,1.849611
3573172443.349966,10.313533,1.856198,10.303472,1.850052
3573172443.359966,10.312540,1.856653,10.302566,1.850493
3573172443.369967,10.311547,1.857109,10.301658,1.850934
3573172443.379966,10.310553,1.857565,10.300749,1.851376
3573172443.389963,10.309557,1.858021,10.299839,1.851817
3573172443.399967,10.308561,1.858477,10.298928,1.852259
3573172443.409969,10.307564,1.858933,10.298017,1.852701
3573172443.419968,10.306566,1.859390,10.297104,1.853143
3573172443.429969,10.305567,1.859847,10.296190,1.853586
3573172443.439968,10.304567,1.860303,10.295275,1.854029
3573172443.449969,10.303566,1.860761,10.294360,1.854472
3573172443.459969,10.302565,1.861218,10.293443,1.854915
3573172443.469970,10.301562,1.861675,10.292525,1.855358
3573172443.479968,10.300558,1.862133,10.291607,1.855802
3573172443.489965,10.299554,1.862591,10.290687,1.856246
3573172443.499970,10.298548,1.863049,10.289766,1.856690
3573172443.509971,10.297542,1.863507,10.288845,1.857134
3573172443.519970,10.296535,1.863965,10.287922,1.857578
3573172443.529971,10.295526,1.864423,10.286999,1.858023
3573172443.539972,10.294517,1.864882,10.286074,1.858468
3573172443.549973,10.293507,1.865341,10.285149,1.858913
3573172443.559973,10.292496,1.865800,10.284222,1.859359
3573172443.569971,10.291484,1.866259,10.283295,1.859804
3573172443.579972,10.290472,1.866718,10.282367,1.860250
3573172443.589969,10.289458,1.867178,10.281437,1.860696
3573172443.599973,10.288443,1.867638,10.280507,1.861142
3573172443.609974,10.287428,1.868097,10.279576,1.861588
3573172443.619974,10.286411,1.868557,10.278644,1.862035
3573172443.629974,10.285394,1.869018,10.277710,1.862482
3573172443.639974,10.284376,1.869478,10.276776,1.862929
3573172443.649975,10.283357,1.869939,10.275841,1.863376
3573172443.659975,10.282337,1.870399,10.274905,1.863824
3573172443.669975,10.281316,1.870860,10.273968,1.864271
3573172443.679975,10.280294,1.871321,10.273030,1.864719
3573172443.689971,10.279271,1.871782,10.272091,1.865167
3573172443.699975,10.278248,1.872244,10.271152,1.865615
3573172443.709977,10.277223,1.872705,10.270211,1.866064
3573172443.719976,10.276198,1.873167,10.269269,1.866513
3573172443.729977,10.275172,1.873629,10.268326,1.866962
3573172443.739977,10.274144,1.874091,10.267383,1.867411
3573172443.749977,10.273116,1.874553,10.266438,1.867860
3573172443.759977,10.272088,1.875015,10.265493,1.868310
3573172443.769978,10.271058,1.875478,10.264546,1.868759
3573172443.779977,10.270027,1.875940,10.263599,1.869209
3573172443.789973,10.268995,1.876403,10.262650,1.869659
3573172443.799979,10.267963,1.876866,10.261701,1.870110
3573172443.809979,10.266930,1.877329,10.260751,1.870560
3573172443.819979,10.265895,1.877793,10.259800,1.871011
3573172443.829981,10.264860,1.878256,10.258848,1.871462
3573172443.839981,10.263824,1.878720,10.257895,1.871913
3573172443.849980,10.262788,1.879184,10.256941,1.872365
3573172443.859981,10.261750,1.879648,10.255986,1.872816
3573172443.869981,10.260711,1.880112,10.255030,1.873268
3573172443.879982,10.259672,1.880576,10.254073,1.873720
3573172443.889977,10.258632,1.881041,10.253115,1.874172
3573172443.899982,10.257590,1.881505,10.252157,1.874624
3573172443.909982,10.256548,1.881970,10.251197,1.875077
3573172443.919983,10.255506,1.882435,10.250237,1.875530
3573172443.929983,10.254462,1.882900,10.249275,1.875983
3573172443.939983,10.253417,1.883365,10.248313,1.876436
3573172443.949983,10.252372,1.883831,10.247350,1.876889
3573172443.959984,10.251325,1.884296,10.246386,1.877343
3573172443.969984,10.250278,1.884762,10.245421,1.877797
3573172443.979984,10.249230,1.885228,10.244455,1.878251
3573172443.989980,10.248181,1.885694,10.243488,1.878705
3573172443.999984,10.247131,1.886160,10.242520,1.879159
3573172444.009986,10.246081,1.886627,10.241551,1.879614
3573172444.019986,10.245029,1.887093,10.240581,1.880069
3573172444.029986,10.243977,1.887560,10.239611,1.880524
3573172444.039986,10.242924,1.888027,10.238639,1.880979
3573172444.049986,10.241870,1.888494,10.237667,1.881434
3573172444.059987,10.240815,1.888961,10.236694,1.881890
3573172444.069987,10.239759,1.889428,10.235719,1.882345
3573172444.079986,10.238703,1.889895,10.234744,1.882801
3573172444.089983,10.237645,1.890363,10.233768,1.883258
3573172444.099988,10.236587,1.890831,10.232791,1.883714
3573172444.109988,10.235528,1.891299,10.231813,1.884170
3573172444.119989,10.234468,1.891767,10.230835,1.884627
3573172444.129990,10.233408,1.892235,10.229855,1.885084
3573172444.139989,10.232346,1.892703,10.228875,1.885541
3573172444.149989,10.231284,1.893172,10.227893,1.885998
3573172444.159989,10.230221,1.893640,10.226911,1.886456
3573172444.169991,10.229156,1.894109,10.225928,1.886914
3573172444.179989,10.228092,1.894578,10.224944,1.887371
3573172444.189985,10.227026,1.895047,10.223959,1.887830
3573172444.199992,10.225959,1.895517,10.222973,1.888288
3573172444.209991,10.224892,1.895986,10.221986,1.888746
3573172444.219991,10.223824,1.896456,10.220998,1.889205
3573172444.229991,10.222755,1.896925,10.220010,1.889664
3573172444.239992,10.221685,1.897395,10.219020,1.890123
