Absolute Time,x_in,y_in,x_hat,y_hat,psi_d,x_d,y_d
3573177494.102306,3.362663,-1.223276,1.600902,2.311696,2.901624,1.888069,2.777890
3573177494.112308,3.363346,-1.226069,1.600656,2.312947,2.901745,1.887220,2.778097
3573177494.122308,3.364026,-1.228863,1.600409,2.314196,2.901866,1.886373,2.778304
3573177494.132308,3.364704,-1.231656,1.600162,2.315443,2.901986,1.885526,2.778511
3573177494.142307,3.365380,-1.234449,1.599914,2.316688,2.902107,1.884681,2.778718
3573177494.152303,3.366054,-1.237242,1.599666,2.317931,2.902227,1.883837,2.778924
3573177494.162308,3.366725,-1.240035,1.599417,2.319172,2.902347,1.882994,2.779129
3573177494.172309,3.367393,-1.242828,1.599169,2.320411,2.902467,1.882152,2.779335
3573177494.182307,3.368060,-1.245621,1.598919,2.321649,2.902587,1.881312,2.779540
3573177494.192310,3.368724,-1.248414,1.598670,2.322884,2.902706,1.880472,2.779744
3573177494.202309,3.369386,-1.251207,1.598419,2.324118,2.902826,1.879634,2.779948
3573177494.212310,3.370045,-1.254000,1.598169,2.325349,2.902945,1.878796,2.780152
3573177494.222311,3.370702,-1.256793,1.597918,2.326579,2.903064,1.877960,2.780355
3573177494.232310,3.371357,-1.259586,1.597666,2.327807,2.903183,1.877125,2.780558
3573177494.242312,3.372010,-1.262378,1.597415,2.329032,2.903301,1.876290,2.780761
3573177494.252306,3.372660,-1.265171,1.597162,2.330256,2.903420,1.875457,2.780963
3573177494.262311,3.373309,-1.267963,1.596909,2.331478,2.903538,1.874625,2.781165
3573177494.272312,3.373955,-1.270755,1.596656,2.332698,2.903657,1.873794,2.781367
3573177494.282310,3.374599,-1.273548,1.596402,2.333916,2.903775,1.872964,2.781568
3573177494.292312,3.375240,-1.276340,1.596148,2.335133,2.903892,1.872135,2.781769
3573177494.302312,3.375880,-1.279132,1.595894,2.336347,2.904010,1.871307,2.781970
3573177494.312313,3.376517,-1.281924,1.595638,2.337560,2.904128,1.870479,2.782170
